id,doc2vec_right,bow_right
0,150.669562608004,433.206002414227
1,364.853839039803,240.146228224039
2,271.59168022871,314.171949774027
3,269.624440252781,221.684559613466
4,346.664155602455,275.12435285747
5,282.114027380943,243.961577236652
6,373.955582261086,229.131103694439
7,204.241608142853,203.688433051109
8,476.566898941994,302.724891066551
9,337.377448618412,226.697024822235
10,471.176180243492,270.122798353434
11,234.10039293766,237.935132294893
12,352.082630932331,261.356264829636
13,391.507340073586,219.776228934526
14,358.962780594826,247.462814688683
15,433.323336362839,118.358918905258
16,321.471984863281,175.848782598972
17,288.833624839783,290.826133370399
18,300.940825104713,379.450800836086
19,356.223903238773,237.628290295601
20,288.782722771168,275.932030647993
21,318.773039996624,251.195113778114
22,288.872937619686,218.356268554926
23,348.486546695232,192.078166425228
24,384.584995985031,222.017797529697
25,367.571158587933,214.114521294832
26,409.21262127161,223.350853234529
27,473.93176227808,150.867500290275
28,372.848275244236,278.325387597084
29,329.931165754795,336.061093181372
30,316.88224375248,255.540067583322
31,460.57789337635,180.074179962277
32,450.059149801731,193.681664064527
33,257.940135419369,229.947889983654
34,300.176795899868,220.4377386868
35,309.02000939846,288.919768601656
36,342.525644361973,303.650768071413
37,427.711300075054,155.144161954522
38,422.473026514053,270.308152735233
39,314.838281989098,216.305780231953
40,279.006478577852,269.809497207403
41,465.340182483196,156.779307357967
42,309.619951486588,241.40744805336
43,287.279264867306,281.670710980892
44,374.636860728264,250.003405630589
45,482.457085847855,284.873251706362
46,310.254151463509,206.154534369707
47,440.883799374104,312.049518436193
48,271.556052833796,230.550549596548
49,369.376880228519,370.5234234
