InputSentence1,InputSentence2,InputSentence3,InputSentence4,AnswerRightEnding,sumOfWmd
0.33998159632086755,0.19666971612683154,0.28829118485093114,0.32925799527196886,1,1.1542004925705989
0.0466904504622668,0.2546781865437956,0.17516241536257865,0.1474367205744982,0,0.6239677729431392
0.08624748053113158,0.04550212155431806,0.07783557539762258,0.10537963889613614,1,0.31496481637920837
0.13358143721149665,0.21612764334660767,0.26049028205145147,0.13132808354503878,0,0.7415274461545946
0.16280153591211138,0.1642834103358686,0.19302091542472008,0.15703132108783152,0,0.6771371827605317
0.20345190720802545,0.17749869174227717,0.237459351948023,0.15392635877049365,1,0.7723363096688193
0.17957994147463407,0.07996821300404476,0.15945103603313354,0.15081051169251183,1,0.5698097022043243
0.1639905879690078,0.07508459268825048,0.1397217110234499,0.13619310162410386,0,0.5149899933048121
0.04132081753675081,0.07969634661610425,0.07082127849473432,0.05229669064283371,1,0.2441351332904231
0.04234998964711837,0.10760490309652686,0.10162866946956516,0.023412339389324188,0,0.27499590160253456
0.2123476645110282,0.1447703858569721,0.13706092865475267,0.11418822149132192,0,0.6083672005140749
0.3011280064700648,0.2337658888683929,0.18458184915722053,0.23945899568882076,1,0.958934740184499
0.13646568075649498,0.1054006631891957,0.16812071036930223,0.19179699992497137,1,0.6017840542399643
0.06230133419191838,0.1353963445353806,0.08942493701653183,0.11642232894356251,0,0.4035449446873933
0.24909786218980093,0.16754159342193603,0.10736367187120406,0.08338211205694834,0,0.6073852395398894
0.13800181288624072,0.05891484915386438,0.07642600136676855,0.09325282805112187,1,0.3665954914579955
0.06180229752465142,0.08499572420711429,0.08162128582495533,0.07123568510919683,1,0.29965499266591783
0.04274639057042631,0.06577986431651241,0.08727758207163201,0.09571656399048141,0,0.2915204009490521
0.3139327915030718,0.2011462901881184,0.28714362963354506,0.31531660205356477,0,1.1175393133783
0.13560739631672625,0.17052216369095707,0.1964907895290001,0.10136553015263677,1,0.6039858796893203
0.053501050825175325,0.18439625019909014,0.37175219437665696,0.09924460770789545,1,0.7088941031088178
0.09156703769818839,0.24609087228143214,0.43502043524980544,0.061645583680015055,0,0.834323928909441
0.1628382037920546,0.16455302262587254,0.15496202018281818,0.0731964849668722,0,0.5555497315676176
0.06339849754024045,0.10559663823055938,0.08939073600322008,0.16614345800043318,1,0.42452932977445307
0.11511085382772877,0.12927350474657745,0.07618889310286003,0.11514538519702064,1,0.4357186368741869
0.04443427931157065,0.06028918864572594,0.13224521905293624,0.2340109637939986,0,0.47097965080423143
0.12624189302475733,0.14549859975363313,0.08601970985357166,0.09548212690722942,0,0.4532423295391915
0.11752820579342153,0.21335879014267556,0.11726846150123091,0.13006759286505218,1,0.5782230503023802
0.10208084443476051,0.07929234607478232,0.08508732413753635,0.071840448522605,1,0.33830096316968417
0.19960276774670563,0.06143287379347211,0.1623394750419758,0.09774480169244591,0,0.5211199182745995
0.07760557625606683,0.09390651841605885,0.09864305346874219,0.0855897671590182,0,0.35574491529988606
0.11966160352287261,0.1848441985694012,0.08690586492232616,0.11858928828744959,1,0.5100009553020496
0.15045850126739896,0.31529885211810743,0.09285101554512977,0.20196334603071806,0,0.7605717149613542
0.1588931996683162,0.049784953778802855,0.33173003648737914,0.10828410675912278,1,0.6486922966936209
0.07375811219620612,0.2037904781818672,0.19479686289056564,0.06710411252994848,0,0.5394495657985875
0.0660265061712811,0.1348268086868543,0.11505265772527866,0.1094859651065588,1,0.42539193768997285
0.02983343845075145,0.04826440923871024,0.0979591085123539,0.1865506933431983,1,0.3626076495450139
0.046764212406239944,0.047916663557124935,0.10403290065866762,0.18455506093366977,0,0.3832688375557023
0.20203713250322167,0.14528963011074403,0.10760102306541965,0.29664113145766247,0,0.7515689171370478
0.046468126025050877,0.19857456374166013,0.21790830074114206,0.1396954676667899,1,0.6026464581746429
0.2733094633845478,0.263359124073261,0.1967874092698807,0.282931125929904,0,1.0163871226575933
0.18371170603357256,0.1695224964248389,0.18295586303755326,0.18720860276975335,1,0.7233986682657181
0.08733304279861144,0.0730490364596025,0.1335189013811527,0.05823735938187248,0,0.3521383400212391
0.2837438831792156,0.25212684848686623,0.20704845603241645,0.27745346676123206,1,1.0203726544597302
0.1003154463633895,0.17986519310663854,0.07134422392769456,0.12110454156351227,1,0.47262940496123484
0.11710222494855387,0.2151774129924079,0.1478485509487002,0.11438877563507167,0,0.5945169645247337
0.08851761309014597,0.0650437895465423,0.05931189202606657,0.07417379994843892,1,0.28704709461119376
0.0993196036104858,0.07945843125568032,0.06295443967233003,0.115983588303273,0,0.35771606284176916
0.11271164359716444,0.09383135848290923,0.21620783377859346,0.14845777969777646,1,0.5712086155564435
